psnr,ssim,dist
1.000000,1.000000,0.000003
0.032656,0.897752,0.059542
0.024901,0.739002,0.146551
0.040111,0.956134,0.046264
0.038304,0.925875,0.061570
0.026710,0.800584,0.129839
0.026559,0.465337,0.376518
0.027849,0.279414,0.551878
0.241400,0.972615,0.021738
0.201345,0.947633,0.070449
0.179433,0.921476,0.091428
0.162906,0.897221,0.076184
0.149540,0.870448,0.069860
0.062079,0.633115,0.091997
0.059101,0.620640,0.106965
0.063732,0.659130,0.129651
0.054938,0.581179,0.145203
0.039893,0.337591,0.308612
0.071404,0.965907,0.024587
0.044632,0.949243,0.038451
0.042918,0.927888,0.056782
0.032733,0.891104,0.101565
0.028971,0.839766,0.132046
0.289246,0.987069,0.129811
0.246818,0.973780,0.143037
0.226038,0.963353,0.200593
0.214033,0.954305,0.257706
0.203605,0.946868,0.314601
0.037831,0.832905,0.172165
0.028900,0.667856,0.281621
0.026170,0.560076,0.349540
0.023731,0.403519,0.458339
0.022354,0.302848,0.546098
0.031215,0.709408,0.211615
0.025089,0.845779,0.130766
0.015007,0.952318,0.065638
0.015007,0.964280,0.068188
0.027258,0.871300,0.168783
1.000000,1.000000,0.000002
0.132719,0.987520,0.031722
0.074488,0.891731,0.183152
0.052083,0.700085,0.446275
0.035767,0.390806,0.700586
0.097725,0.956926,0.071385
0.068370,0.849136,0.236826
0.048610,0.616442,0.485254
0.041052,0.457912,0.607300
0.036667,0.361977,0.682881
1.000000,1.000000,0.000002
0.109835,0.972881,0.053943
0.080087,0.902803,0.154873
0.064559,0.807010,0.293207
0.049562,0.636921,0.478813
0.078162,0.909351,0.168081
0.025655,0.557712,0.459325
0.024870,0.371373,0.613553
0.024055,0.325441,0.645953
0.023119,0.297236,0.678671
0.166239,0.977878,0.024046
0.143722,0.934278,0.143802
0.131411,0.911682,0.230108
0.126039,0.908662,0.276430
0.123783,0.910702,0.281039
0.053990,0.813095,0.087582
0.051287,0.813491,0.082626
0.047243,0.780192,0.112242
0.041046,0.720026,0.155959
0.037133,0.623046,0.334912
0.043866,0.825231,0.428868
0.048880,0.752431,0.564227
0.050535,0.718231,0.641014
0.045350,0.686078,0.675157
0.021477,0.590852,0.595059
1.000000,1.000000,0.000002
0.037995,0.647120,0.289028
0.024829,0.514215,0.399427
0.025086,0.380906,0.511901
0.022970,0.333503,0.538750
0.085516,0.931931,0.078968
0.058342,0.852796,0.199858
0.051848,0.805143,0.266583
0.040416,0.622785,0.447058
0.032351,0.425218,0.616746
0.065309,0.883359,0.061131
0.062449,0.872642,0.092578
0.056052,0.840989,0.117589
0.034719,0.695395,0.355933
0.031698,0.601949,0.513620
0.068204,0.831865,0.084433
0.050550,0.748969,0.125965
0.043593,0.693659,0.167493
0.037034,0.617296,0.207518
0.030548,0.507018,0.307845
0.111510,0.918977,0.034882
0.053843,0.763762,0.122866
0.041717,0.667622,0.174960
0.033862,0.561213,0.243704
0.030511,0.495614,0.309203
0.429431,0.981604,0.038576
0.339060,0.919616,0.099272
0.296256,0.841861,0.150574
0.255347,0.728743,0.224073
0.231032,0.631624,0.280560
0.117090,0.920287,0.036904
0.058602,0.789104,0.115757
0.047881,0.710940,0.160299
0.038840,0.624074,0.239946
0.031449,0.495384,0.357492
0.045108,0.850792,0.172882
0.035785,0.750011,0.239354
0.034576,0.682728,0.266508
0.029165,0.545818,0.365524
0.025867,0.453099,0.476082
0.025199,0.989822,0.014609
0.024940,0.967413,0.043299
0.019417,0.896979,0.114871
0.018514,0.727519,0.279326
0.027966,0.511523,0.455777
0.111602,0.997785,0.005731
0.027592,0.990854,0.021850
0.027664,0.961819,0.064373
0.020116,0.827809,0.171396
0.018989,0.441784,0.389503
0.027319,0.963651,0.067501
0.035564,0.986773,0.022228
1.000000,1.000000,0.000002
0.038986,0.951338,0.052760
0.023060,0.870285,0.118824
0.050158,0.975120,0.042245
0.034276,0.931653,0.114196
0.028934,0.886299,0.124149
0.028548,0.691558,0.384200
0.027115,0.471450,0.633672
0.253725,0.977397,0.026322
0.211568,0.951067,0.062051
0.191340,0.926678,0.085967
0.176065,0.911375,0.097706
0.159269,0.886414,0.125300
0.084287,0.823223,0.080227
0.078693,0.803356,0.119716
0.083375,0.816763,0.114279
0.075692,0.786676,0.105485
0.056226,0.567302,0.382588
0.075987,0.967412,0.020195
0.052230,0.956469,0.029255
0.042189,0.938642,0.039412
0.038533,0.912840,0.053887
0.032493,0.863631,0.100975
0.287512,0.988511,0.044374
0.253034,0.975181,0.109669
0.226104,0.964309,0.154525
0.208087,0.956102,0.137701
0.195229,0.938048,0.177012
0.049355,0.873469,0.173635
0.039070,0.740974,0.276480
0.035613,0.649608,0.347615
0.032124,0.503874,0.482271
0.029905,0.390251,0.604358
0.034758,0.834439,0.192363
0.030551,0.910029,0.134209
0.023219,0.971112,0.067467
0.023219,0.974025,0.093437
0.030444,0.897160,0.222518
1.000000,1.000000,0.000002
0.120727,0.980282,0.025517
0.076052,0.839131,0.139177
0.054792,0.654490,0.334801
0.037461,0.456062,0.636805
0.091508,0.929823,0.058993
0.071227,0.780119,0.172432
0.052165,0.587460,0.367007
0.041526,0.496158,0.494416
0.037847,0.442050,0.588552
1.000000,1.000000,0.000002
0.102799,0.949406,0.050703
0.084895,0.874969,0.176243
0.070892,0.754949,0.237439
0.054822,0.609103,0.374287
0.195341,0.988156,0.072016
0.035384,0.846058,0.256230
0.021725,0.716457,0.402653
0.020432,0.646021,0.467798
0.020198,0.531366,0.526528
0.158722,0.957250,0.088067
0.151233,0.926035,0.256910
0.145789,0.919458,0.288304
0.142484,0.920577,0.354915
0.139167,0.919645,0.404113
0.050241,0.819651,0.050544
0.047834,0.791189,0.103719
0.041228,0.747446,0.158523
0.034325,0.634843,0.184029
0.026304,0.497516,0.251142
0.055748,0.949863,0.152984
0.047843,0.930368,0.234818
0.048460,0.920346,0.276208
0.046242,0.910767,0.300544
0.027816,0.879947,0.307645
1.000000,1.000000,0.000002
0.052147,0.887385,0.132306
0.033720,0.832036,0.215486
0.021797,0.672026,0.341006
0.021668,0.550497,0.418147
0.139354,0.958272,0.054434
0.083931,0.894646,0.147067
0.071013,0.853903,0.181282
0.053507,0.709488,0.360825
0.041483,0.525205,0.606825
0.083900,0.908923,0.067969
0.079837,0.897845,0.084958
0.071090,0.865534,0.117088
0.042508,0.707003,0.333691
0.035780,0.626068,0.397933
0.065599,0.757922,0.077704
0.047960,0.649846,0.117068
0.041011,0.583440,0.135378
0.034390,0.499923,0.185843
0.027925,0.390044,0.254094
0.108339,0.877676,0.030685
0.050776,0.667304,0.110230
0.038663,0.554606,0.154162
0.031039,0.443703,0.215700
0.027619,0.380576,0.267478
0.426790,0.980233,0.023864
0.331718,0.897137,0.086651
0.288429,0.804380,0.127007
0.248849,0.668994,0.193090
0.224668,0.558872,0.248518
0.123310,0.905005,0.029936
0.062927,0.747881,0.089471
0.048981,0.661350,0.126664
0.038623,0.568985,0.174334
0.030563,0.441646,0.271729
0.060784,0.819557,0.158065
0.044037,0.702221,0.268142
0.036022,0.626636,0.349502
0.033659,0.473699,0.453808
0.028207,0.358850,0.555817
0.026580,0.989592,0.014199
0.016996,0.964942,0.035304
0.015083,0.888095,0.087099
0.011217,0.726421,0.190701
0.027014,0.549317,0.306552
0.110927,0.997217,0.006549
0.027491,0.988906,0.015546
0.021291,0.952981,0.043995
0.014334,0.781433,0.120460
0.014410,0.304370,0.393470
0.023566,0.957682,0.090799
0.041808,0.991993,0.022830
1.000000,1.000000,0.000002
0.032065,0.925767,0.033428
0.024543,0.825133,0.095587
0.072620,0.983309,0.022932
0.039663,0.950143,0.066598
0.030760,0.872549,0.137222
0.028767,0.669457,0.396935
0.032395,0.504330,0.603002
0.254879,0.976784,0.027699
0.210026,0.949778,0.074658
0.195710,0.936336,0.064836
0.179639,0.921659,0.073148
0.165355,0.900280,0.086456
0.090412,0.802415,0.079567
0.084187,0.750526,0.105879
0.089337,0.769278,0.113441
0.082850,0.755825,0.126297
0.063145,0.546953,0.289587
0.075900,0.941103,0.044178
0.051021,0.913695,0.058708
0.041680,0.871670,0.090409
0.035120,0.827833,0.119477
0.027963,0.758123,0.195349
0.287199,0.987436,0.061145
0.245995,0.977862,0.118269
0.228358,0.969439,0.127287
0.208044,0.955223,0.188590
0.195234,0.939982,0.245238
0.057601,0.871575,0.147221
0.043771,0.735529,0.227161
0.037992,0.638619,0.277867
0.030803,0.469351,0.375564
0.025122,0.325586,0.465630
0.028456,0.790374,0.160269
0.022641,0.892321,0.097611
0.011050,0.966896,0.044366
0.011050,0.973445,0.058431
0.024444,0.900267,0.144523
1.000000,1.000000,0.000003
0.094052,0.965989,0.065243
0.046902,0.719363,0.256478
0.036502,0.411189,0.478317
0.028457,0.154204,0.695224
0.061560,0.877337,0.135360
0.042562,0.614133,0.306048
0.034447,0.299159,0.508727
0.031186,0.180659,0.607229
0.029175,0.128651,0.655820
1.000000,1.000000,0.000003
0.076097,0.933028,0.116570
0.049733,0.751895,0.256302
0.041308,0.583746,0.406714
0.036155,0.417892,0.594469
0.108183,0.962793,0.191113
0.049463,0.709639,0.385694
0.035246,0.556738,0.511855
0.031123,0.499492,0.559912
0.026589,0.405830,0.606541
0.134799,0.949680,0.088811
0.127179,0.917191,0.213593
0.123173,0.905540,0.334557
0.120935,0.905322,0.365373
0.120404,0.905659,0.374223
0.069888,0.927393,0.085003
0.059194,0.908611,0.109920
0.053589,0.879680,0.128732
0.045477,0.827078,0.204455
0.036244,0.739505,0.277166
0.072808,0.930225,0.287267
0.062897,0.900924,0.370712
0.061045,0.886421,0.421671
0.058941,0.872573,0.443053
0.036325,0.836687,0.419922
1.000000,1.000000,0.000003
0.063281,0.810855,0.247668
0.048782,0.682664,0.356809
0.034414,0.488711,0.517940
0.029149,0.387011,0.582100
0.055856,0.854931,0.134614
0.042152,0.706120,0.305920
0.038540,0.630348,0.379431
0.032809,0.430339,0.558423
0.029298,0.220287,0.685358
0.052359,0.855686,0.127896
0.050144,0.838443,0.148149
0.045222,0.791214,0.207713
0.033504,0.571523,0.390776
0.029904,0.437299,0.538514
0.067543,0.902530,0.053456
0.050025,0.836669,0.102101
0.042889,0.786602,0.134144
0.036173,0.709161,0.172229
0.029838,0.585343,0.255078
0.110701,0.956604,0.025515
0.052834,0.843752,0.105303
0.040804,0.754364,0.146394
0.032929,0.642462,0.216075
0.029661,0.567570,0.279115
0.424066,0.986277,0.014493
0.333724,0.934094,0.076843
0.291640,0.875306,0.144337
0.250375,0.762451,0.202897
0.226583,0.676262,0.291837
0.180299,0.994929,0.004571
0.108375,0.977008,0.014601
0.087036,0.956642,0.042072
0.069998,0.922062,0.062959
0.052460,0.838962,0.120537
0.039509,0.707817,0.270199
0.030820,0.554296,0.346176
0.028057,0.480801,0.405949
0.025217,0.383715,0.490863
