psnr,ssim,dist
0.021266,0.976508,0.029261
0.060265,0.993421,0.011421
1.000000,1.000000,0.000003
0.017724,0.903330,0.060954
0.018280,0.725765,0.177681
0.197061,0.994247,0.006311
0.117324,0.977362,0.019834
0.064142,0.921211,0.067297
0.055820,0.767525,0.232111
0.051372,0.613565,0.461924
0.266514,0.981463,0.014053
0.222200,0.959090,0.059152
0.209415,0.952795,0.041311
0.187970,0.930004,0.066907
0.173730,0.910204,0.093760
0.108631,0.852058,0.045467
0.098039,0.816085,0.051132
0.102742,0.826704,0.059001
0.098669,0.812231,0.064250
0.075178,0.643317,0.223016
0.075349,0.925760,0.073538
0.053034,0.900724,0.107931
0.042542,0.860233,0.144612
0.036940,0.816458,0.184657
0.028556,0.725482,0.274251
0.294880,0.989676,0.056925
0.253319,0.974115,0.131223
0.226613,0.965075,0.106011
0.206592,0.965114,0.235470
0.195544,0.940958,0.246431
0.073237,0.878252,0.112992
0.053912,0.731247,0.207640
0.046084,0.613929,0.272592
0.033759,0.385023,0.397515
0.025276,0.187297,0.524142
0.027742,0.719197,0.223720
0.020160,0.856672,0.127507
0.008328,0.956938,0.055179
0.008328,0.970814,0.075562
0.022561,0.902371,0.203376
1.000000,1.000000,0.000003
0.115051,0.974939,0.036603
0.068735,0.802650,0.186854
0.055009,0.612276,0.384314
0.038549,0.450104,0.636951
0.085123,0.909426,0.082977
0.064296,0.732494,0.229090
0.051371,0.547726,0.410064
0.046898,0.478395,0.519658
0.039410,0.438335,0.599178
1.000000,1.000000,0.000003
0.096981,0.945540,0.067666
0.075992,0.830698,0.200456
0.063387,0.712005,0.298043
0.057608,0.633529,0.417562
0.172863,0.990997,0.113030
0.042748,0.784986,0.347554
0.033996,0.622081,0.469720
0.030317,0.552456,0.526876
0.026668,0.457207,0.591377
0.157864,0.960543,0.058219
0.153901,0.941940,0.165693
0.149403,0.936051,0.296252
0.145849,0.934392,0.319694
0.143831,0.931587,0.341665
0.038606,0.824860,0.112193
0.038516,0.798844,0.125899
0.039329,0.712532,0.162068
0.027213,0.614880,0.260950
0.023202,0.441477,0.350066
0.059512,0.962978,0.199422
0.049813,0.944197,0.291182
0.051381,0.934318,0.320604
0.053337,0.924647,0.344563
0.027998,0.900653,0.371265
1.000000,1.000000,0.000003
0.054980,0.885361,0.158074
0.041349,0.770460,0.254904
0.033979,0.595994,0.401269
0.028195,0.490006,0.479341
0.112594,0.949993,0.077408
0.073858,0.870505,0.151803
0.065289,0.813699,0.266121
0.055820,0.673857,0.409146
0.043645,0.513614,0.619813
0.078880,0.902325,0.108709
0.075533,0.889098,0.114747
0.068633,0.852873,0.141236
0.042323,0.681935,0.323258
0.034901,0.604991,0.442219
0.066051,0.744100,0.121093
0.048384,0.635895,0.171945
0.041357,0.569795,0.188926
0.034604,0.486177,0.236458
0.028140,0.373061,0.340479
0.108703,0.867635,0.068429
0.051219,0.651907,0.156108
0.039173,0.540104,0.204063
0.031380,0.426687,0.279585
0.027920,0.361485,0.342953
0.429917,0.976765,0.052361
0.333162,0.890051,0.128397
0.293174,0.792638,0.180139
0.251672,0.643898,0.258216
0.226892,0.529404,0.297637
0.146101,0.911083,0.053616
0.073459,0.764255,0.118592
0.056744,0.684441,0.140506
0.044693,0.600579,0.175862
0.034081,0.483244,0.252180
0.057931,0.778221,0.221968
0.047144,0.640792,0.326605
0.038838,0.556532,0.435852
0.034192,0.385417,0.539272
0.029224,0.275841,0.592312
0.023449,0.989456,0.012052
0.019215,0.963603,0.031381
0.016303,0.886284,0.076148
0.009703,0.745739,0.167639
0.028998,0.572400,0.289890
0.107647,0.996822,0.004372
0.023494,0.986542,0.016154
0.022017,0.941575,0.045188
0.017044,0.727226,0.157597
0.013435,0.178082,0.500768
0.025272,0.975216,0.043395
0.047493,0.993429,0.013407
1.000000,1.000000,0.000003
0.025114,0.917123,0.060253
0.020196,0.771588,0.140285
0.064843,0.976489,0.031625
0.046735,0.946083,0.061112
0.037228,0.852140,0.130299
0.027301,0.610287,0.351829
0.034080,0.482532,0.488469
0.264538,0.980693,0.016372
0.216582,0.955410,0.057085
0.203988,0.945335,0.079683
0.184960,0.922307,0.072963
0.173416,0.906336,0.137070
0.085976,0.759379,0.081914
0.077992,0.719955,0.120165
0.083223,0.742614,0.123273
0.078736,0.716874,0.131282
0.062474,0.528808,0.323287
0.073292,0.945980,0.082891
0.047143,0.932358,0.101819
0.044053,0.904062,0.116514
0.035158,0.868256,0.173697
0.026531,0.799083,0.239555
0.289727,0.987823,0.175992
0.248170,0.978490,0.131689
0.225711,0.969416,0.156424
0.212090,0.948511,0.239504
0.194343,0.945139,0.277877
0.059582,0.873373,0.137060
0.048902,0.748668,0.234789
0.045488,0.664273,0.309135
0.041239,0.525561,0.451481
0.036033,0.397638,0.554180
0.032650,0.761369,0.196506
0.025843,0.876070,0.119568
0.015807,0.962083,0.053469
0.015807,0.971669,0.063301
0.027114,0.898709,0.155780
1.000000,1.000000,0.000002
0.218691,0.991159,0.031463
0.134756,0.935327,0.158497
0.110510,0.863972,0.326729
0.088540,0.755148,0.527922
0.162456,0.969238,0.073431
0.126109,0.913366,0.194883
0.106112,0.837199,0.352700
0.096545,0.785763,0.452553
0.090159,0.749770,0.508515
1.000000,1.000000,0.000002
0.187808,0.982184,0.056894
0.139699,0.942672,0.134790
0.122099,0.899564,0.212119
0.107270,0.844721,0.303710
0.168307,0.974330,0.094286
0.022763,0.534710,0.558471
0.026023,0.407763,0.720808
0.025652,0.368218,0.766977
0.026705,0.342810,0.836430
0.217414,0.985291,0.062118
0.199390,0.971067,0.161525
0.187726,0.962575,0.229494
0.183630,0.958856,0.291119
0.174086,0.956973,0.312944
0.109644,0.850148,0.079724
0.101422,0.822078,0.098218
0.090870,0.786641,0.135862
0.067777,0.652496,0.197247
0.056291,0.535109,0.275882
0.035754,0.890923,0.293604
0.039314,0.848953,0.406569
0.046631,0.828873,0.472136
0.050594,0.809679,0.542179
0.020909,0.797255,0.565428
1.000000,1.000000,0.000002
0.038104,0.625923,0.418056
0.022325,0.512943,0.541431
0.025897,0.411465,0.638320
0.026432,0.384151,0.705659
0.245440,0.988174,0.013513
0.163389,0.963635,0.052930
0.138212,0.942553,0.099084
0.106400,0.868505,0.312699
0.078043,0.776733,0.486523
0.120412,0.920775,0.066422
0.116694,0.913886,0.096517
0.107108,0.890751,0.149266
0.059983,0.797964,0.422185
0.041090,0.752261,0.581908
0.068391,0.606579,0.147447
0.050658,0.457963,0.189145
0.043705,0.374465,0.207583
0.037075,0.276014,0.276533
0.030685,0.163466,0.368614
0.111808,0.793042,0.091805
0.053819,0.483885,0.184305
0.041886,0.340339,0.242472
0.034021,0.215495,0.318520
0.030451,0.153999,0.380422
0.432701,0.971025,0.107499
0.339257,0.856194,0.163996
0.295960,0.729383,0.201883
0.256339,0.539030,0.287103
0.232768,0.403926,0.345983
0.105083,0.773082,0.097062
0.051293,0.497270,0.192597
0.041546,0.379101,0.240819
0.034424,0.275198,0.299603
0.028582,0.163566,0.404262
0.059674,0.822664,0.325832
0.051144,0.712894,0.408530
0.042486,0.627438,0.435915
0.033312,0.427469,0.477654
0.028337,0.288652,0.562508
0.025186,0.992584,0.013290
0.026647,0.975403,0.037917
0.019353,0.919425,0.106937
0.018164,0.811154,0.278643
0.030225,0.705789,0.468697
0.113306,0.998135,0.006526
0.028738,0.992350,0.028631
0.033992,0.967999,0.074614
0.026547,0.853292,0.162241
0.017497,0.493385,0.391741
0.028707,0.971681,0.089442
0.031968,0.991190,0.030442
1.000000,1.000000,0.000002
0.043326,0.950207,0.049012
0.034381,0.893959,0.119887
0.052561,0.987368,0.019382
0.030780,0.968776,0.048648
0.041648,0.939652,0.084868
0.045193,0.855905,0.249643
0.030730,0.766785,0.401781
0.334141,0.994887,0.005473
0.252651,0.976722,0.074451
0.233083,0.967249,0.101868
0.210435,0.954975,0.124302
0.194582,0.940032,0.172529
0.138835,0.914640,0.057078
0.132759,0.904824,0.080395
0.135097,0.909553,0.098319
0.127856,0.891981,0.087345
0.105350,0.805380,0.293010
0.077835,0.949230,0.098407
0.050479,0.936462,0.125606
0.045843,0.922562,0.140877
0.038321,0.897000,0.157141
0.031857,0.852469,0.253534
0.295124,0.987555,0.117106
0.249797,0.979389,0.117875
0.228484,0.965652,0.271269
0.207583,0.960043,0.186799
0.194841,0.945205,0.251030
0.104490,0.931059,0.178589
0.085402,0.848989,0.274933
0.078684,0.786813,0.336071
0.069869,0.664112,0.454449
0.058160,0.507927,0.564184
0.036219,0.873350,0.228261
0.030855,0.928355,0.159846
0.031687,0.977306,0.084749
0.031687,0.982462,0.154192
0.032025,0.936379,0.318318
1.000000,1.000000,0.000002
0.110771,0.978453,0.030233
0.059462,0.815751,0.176046
0.043446,0.573313,0.375111
0.026964,0.302914,0.609265
0.076342,0.922837,0.079513
0.054830,0.745056,0.212471
0.040918,0.481606,0.407949
0.033742,0.358286,0.509950
0.028807,0.287691,0.579280
1.000000,1.000000,0.000002
0.089407,0.953908,0.056391
0.064693,0.836984,0.157993
0.058551,0.729966,0.276189
0.050215,0.596287,0.413275
0.073420,0.896366,0.109422
0.028357,0.431092,0.415331
0.024505,0.315088,0.489798
0.023798,0.274838,0.533458
0.023414,0.224285,0.575882
0.139830,0.961072,0.022404
0.115753,0.888509,0.165678
0.106935,0.866973,0.266187
0.104675,0.865236,0.288828
0.103941,0.864293,0.278402
0.057043,0.826478,0.083411
0.051878,0.797207,0.104297
0.047190,0.760812,0.138981
0.038281,0.685600,0.176302
0.030283,0.572614,0.290775
0.047920,0.819894,0.309451
0.042299,0.756368,0.455680
0.044688,0.726071,0.540839
0.043228,0.697367,0.590592
0.021226,0.636558,0.548535
1.000000,1.000000,0.000002
0.038979,0.530681,0.279643
0.031558,0.410462,0.350089
0.025889,0.331255,0.410907
0.024764,0.297396,0.447191
0.073530,0.923333,0.029758
0.052244,0.828205,0.105359
0.047120,0.771355,0.146819
0.037477,0.575446,0.346230
0.029939,0.332735,0.588810
0.059298,0.872678,0.036844
0.056789,0.860209,0.046584
0.051157,0.824382,0.067246
0.036484,0.659084,0.234539
0.030696,0.539607,0.372449
0.069017,0.886953,0.048928
0.051403,0.817784,0.088456
0.044185,0.765907,0.121377
0.037653,0.689397,0.174925
0.031225,0.566603,0.257598
0.111890,0.947423,0.011549
0.054432,0.822481,0.085508
0.042267,0.731024,0.142057
0.034386,0.619408,0.208429
0.031179,0.547142,0.254231
0.427331,0.984900,0.010768
0.335502,0.928334,0.069743
0.295453,0.866900,0.133834
0.254834,0.761331,0.203864
0.230803,0.666098,0.239773
0.143241,0.951214,0.019586
0.082783,0.872989,0.097888
0.066920,0.826419,0.146584
0.054523,0.771220,0.209152
0.042570,0.675778,0.275243
0.041692,0.804730,0.147155
0.033977,0.678458,0.244811
0.030681,0.610159,0.294263
0.026710,0.490607,0.410166
0.024117,0.408249,0.471147
0.038028,0.984214,0.014294
0.026104,0.948744,0.044145
0.020288,0.847607,0.117125
0.017226,0.676919,0.241769
0.027934,0.511815,0.385106
0.125859,0.996241,0.003758
0.042099,0.984076,0.014259
0.031183,0.930971,0.048750
0.023285,0.687928,0.143472
0.020490,0.189596,0.377013
0.039500,0.956496,0.044414
0.063197,0.983802,0.017909
1.000000,1.000000,0.000002
0.033428,0.894174,0.041292
0.028867,0.717692,0.099432
0.062281,0.975354,0.026335
0.032891,0.926026,0.067724
0.029111,0.831832,0.121563
0.024784,0.578112,0.377771
0.024228,0.362727,0.580598
0.243720,0.976685,0.056908
0.203864,0.947388,0.118293
0.183177,0.924128,0.118505
0.168901,0.906160,0.151871
0.157181,0.885431,0.213711
0.073943,0.763860,0.079377
0.075511,0.764256,0.107588
0.078676,0.773507,0.125041
0.065269,0.707448,0.120231
0.046796,0.478541,0.335432
0.074501,0.963621,0.014973
0.048956,0.947550,0.021958
0.047318,0.927553,0.036222
0.036502,0.894570,0.053319
0.031275,0.824278,0.101796
0.285866,0.986484,0.065841
0.248171,0.976499,0.108638
0.226751,0.962814,0.145163
0.214155,0.955120,0.117171
0.196295,0.935007,0.212881
0.042308,0.819882,0.183099
0.033959,0.644336,0.306880
0.031270,0.532293,0.381355
0.027844,0.376779,0.474932
0.025760,0.279929,0.562095
0.034588,0.698479,0.146564
0.029758,0.838544,0.095325
0.020830,0.950779,0.044325
0.020830,0.965073,0.060956
0.031378,0.878647,0.167449
1.000000,1.000000,0.000003
0.200777,0.992055,0.013075
0.121951,0.935314,0.092579
0.080124,0.825271,0.272030
0.051493,0.553754,0.550778
0.153075,0.971982,0.035155
0.111787,0.911358,0.122128
0.073147,0.777158,0.310695
0.058480,0.634721,0.419453
0.052086,0.530553,0.516062
1.000000,1.000000,0.000003
0.168737,0.982361,0.026405
0.123001,0.938606,0.093227
0.100853,0.897834,0.177894
0.070551,0.779378,0.322400
0.112338,0.929814,0.103918
0.023292,0.520684,0.380479
0.019743,0.423287,0.558036
0.022142,0.382263,0.616332
0.021175,0.350433,0.640929
0.215640,0.989916,0.020278
0.176409,0.970755,0.096642
0.158891,0.959036,0.177025
0.155054,0.958677,0.197069
0.153087,0.962388,0.199421
0.057638,0.778908,0.126049
0.055032,0.744550,0.138539
0.051708,0.710768,0.168895
0.036667,0.570726,0.247731
0.029086,0.452815,0.335199
0.044132,0.807499,0.237011
0.042128,0.750929,0.367630
0.041512,0.724787,0.469064
0.042892,0.700215,0.551938
0.015659,0.644344,0.532423
1.000000,1.000000,0.000003
0.040248,0.605480,0.245726
0.022668,0.526915,0.351121
0.019737,0.429525,0.457931
0.022278,0.366485,0.531806
0.175706,0.974792,0.011952
0.112151,0.932798,0.038863
0.094115,0.902389,0.066581
0.064125,0.761250,0.278862
0.044157,0.549832,0.526451
0.095404,0.901154,0.053942
0.090431,0.889352,0.068145
0.079571,0.858258,0.094922
0.051019,0.710943,0.302406
0.034832,0.586342,0.538101
0.067092,0.737677,0.091241
0.049456,0.617573,0.136081
0.042374,0.540552,0.172380
0.035862,0.440729,0.221122
0.029449,0.309470,0.326483
0.110277,0.867905,0.049905
0.052478,0.636887,0.123169
0.040554,0.508284,0.187028
0.032503,0.374567,0.260941
0.029235,0.300373,0.341396
0.426673,0.973897,0.035561
0.334730,0.887553,0.104254
0.294115,0.787917,0.160698
0.253503,0.628367,0.261901
0.227765,0.504958,0.339094
0.130504,0.911741,0.040176
0.071342,0.772252,0.107939
0.058471,0.688781,0.174108
0.046694,0.593507,0.241632
0.036506,0.452648,0.364183
0.067746,0.797615,0.185401
0.052372,0.683558,0.283570
0.045411,0.598505,0.364976
0.033244,0.451305,0.457075
0.026942,0.351027,0.548650
0.027233,0.977926,0.013604
0.023467,0.937874,0.046274
0.017512,0.833053,0.124998
0.011100,0.638136,0.282124
0.024132,0.455791,0.494334
0.121306,0.996465,0.007468
0.036999,0.985346,0.022121
0.026268,0.937023,0.058486
0.021158,0.711973,0.157377
0.016015,0.248512,0.401790
0.030211,0.959396,0.071891
0.049972,0.990184,0.018752
1.000000,1.000000,0.000003
0.039373,0.859104,0.032403
0.029192,0.693511,0.097082
0.072487,0.956935,0.010188
0.053880,0.940865,0.019025
0.036637,0.893874,0.063048
0.030716,0.761832,0.219979
0.031833,0.604306,0.405718
0.246964,0.974410,0.058623
0.219563,0.962052,0.073783
0.200254,0.947240,0.041381
0.181693,0.921752,0.071974
0.168029,0.901641,0.147053
0.103217,0.891741,0.058615
0.097274,0.881226,0.075321
0.101559,0.887587,0.078820
0.093184,0.862943,0.069413
0.068347,0.697222,0.285787
0.073967,0.921455,0.032006
0.048573,0.897021,0.043285
0.042953,0.871967,0.064259
0.037310,0.824654,0.083015
0.029824,0.751835,0.121297
0.289611,0.985632,0.069438
0.248330,0.977522,0.113221
0.223285,0.962417,0.196740
0.208380,0.951120,0.267017
0.193353,0.941717,0.233844
0.065440,0.874967,0.132605
0.048422,0.736043,0.223729
0.042687,0.630093,0.294427
0.035987,0.434246,0.428598
0.029674,0.259161,0.559736
0.035427,0.668535,0.165620
0.027591,0.813172,0.100677
0.015009,0.943107,0.044838
0.015009,0.963432,0.053628
0.032106,0.879007,0.157253
1.000000,1.000000,0.000003
0.189820,0.985771,0.042050
0.108006,0.882960,0.184712
0.081766,0.727687,0.373514
0.060572,0.539506,0.572206
0.137017,0.950306,0.094326
0.099510,0.839525,0.214184
0.076126,0.667098,0.412583
0.066602,0.574334,0.495426
0.060868,0.524532,0.553660
1.000000,1.000000,0.000003
0.152079,0.966790,0.066998
0.101733,0.854728,0.229923
0.103194,0.859353,0.268283
0.073411,0.655771,0.411150
0.154930,0.960597,0.142102
0.045829,0.712473,0.390476
0.030878,0.553583,0.516816
0.029074,0.487089,0.557160
0.027067,0.391941,0.587097
0.193198,0.976617,0.057700
0.178120,0.961568,0.149105
0.180867,0.966543,0.156313
0.161312,0.958179,0.221094
0.159886,0.957852,0.234188
0.083197,0.783164,0.147066
0.076832,0.761549,0.160223
0.066726,0.699983,0.185232
0.050837,0.584924,0.280690
0.035986,0.390460,0.358450
0.061799,0.895329,0.251970
0.050307,0.859959,0.357668
0.052165,0.842379,0.399510
0.051435,0.826477,0.443725
0.029476,0.793356,0.490140
1.000000,1.000000,0.000003
0.059507,0.798911,0.221774
0.045675,0.679634,0.341457
0.032167,0.473494,0.477611
0.029281,0.356089,0.554114
0.169872,0.958044,0.055650
0.116125,0.903379,0.141451
0.099443,0.864606,0.207482
0.075058,0.745375,0.399780
0.058365,0.598418,0.570505
0.101567,0.880603,0.153419
0.096766,0.866726,0.172191
0.085564,0.827680,0.229198
0.051020,0.630776,0.482075
0.039756,0.511910,0.659388
0.069873,0.712856,0.161217
0.052199,0.573804,0.261001
0.045386,0.487162,0.315698
0.038715,0.376253,0.375444
0.032137,0.237629,0.461686
0.112389,0.854865,0.073211
0.055133,0.592340,0.251562
0.043108,0.446462,0.342754
0.035304,0.305017,0.432832
0.032058,0.230192,0.492821
0.430224,0.972593,0.069721
0.340634,0.876042,0.189102
0.300981,0.771504,0.270632
0.259187,0.598756,0.379104
0.234895,0.464906,0.449658
0.175332,0.961693,0.021509
0.094645,0.855319,0.120261
0.074510,0.771225,0.161234
0.060365,0.668565,0.218655
0.048053,0.523327,0.294992
0.065438,0.713090,0.298128
0.047517,0.586165,0.407009
0.039113,0.492641,0.480849
0.029388,0.329231,0.605785
0.027226,0.235415,0.679323
0.037106,0.983276,0.023078
0.030771,0.946159,0.058444
0.025883,0.844884,0.122235
0.018534,0.675426,0.216910
0.030989,0.439568,0.339021
0.120395,0.995814,0.011302
0.036137,0.982043,0.034650
0.034403,0.921872,0.102434
0.026609,0.637087,0.275288
0.022283,0.083035,0.680298
0.039100,0.973920,0.047396
0.067288,0.992602,0.016543
1.000000,1.000000,0.000003
0.028723,0.768384,0.166240
0.027435,0.585058,0.283100
0.102165,0.926585,0.026629
0.071456,0.894378,0.047946
0.056570,0.841513,0.094839
0.047374,0.679941,0.270849
0.031708,0.502533,0.466775
0.259532,0.977852,0.044401
0.219873,0.957496,0.069389
0.191385,0.933013,0.106802
0.183401,0.929384,0.108516
0.171232,0.912951,0.130440
0.114048,0.843697,0.101422
0.099431,0.781277,0.127402
0.104033,0.801940,0.119814
0.100748,0.791356,0.137109
0.075556,0.607725,0.331720
0.076028,0.879024,0.098432
0.051115,0.843389,0.145211
0.047198,0.807410,0.173586
0.040670,0.738472,0.218691
0.035471,0.633757,0.327294
0.287484,0.986015,0.103625
0.249797,0.976114,0.256631
0.226664,0.965371,0.321308
0.213883,0.954590,0.428423
0.194878,0.942373,0.396089
0.076129,0.860523,0.238630
0.054526,0.693874,0.355787
0.046029,0.565926,0.419246
0.036164,0.344613,0.554667
0.030868,0.179726,0.654130
0.039193,0.565259,0.312831
0.033636,0.727951,0.224429
0.027558,0.915225,0.118614
0.027558,0.947907,0.077764
0.035119,0.833606,0.165317
1.000000,1.000000,0.000003
0.153656,0.986983,0.025458
0.106030,0.898767,0.123439
0.084904,0.778621,0.333307
0.039673,0.598288,0.615567
0.121189,0.954171,0.058139
0.101134,0.862960,0.156717
0.080660,0.732220,0.366789
0.065475,0.647738,0.504358
0.043360,0.587987,0.579675
1.000000,1.000000,0.000003
0.138582,0.975582,0.051905
0.106280,0.894128,0.125902
0.096384,0.832562,0.208159
0.084477,0.788426,0.352760
0.161999,0.970679,0.068280
0.032198,0.670400,0.272618
0.022519,0.503460,0.413984
0.020974,0.450898,0.468405
0.017949,0.394894,0.525650
0.197086,0.982988,0.052650
0.188246,0.969129,0.143006
0.171676,0.953251,0.267512
0.170576,0.953799,0.269874
0.166956,0.955389,0.302766
0.080363,0.822461,0.047693
0.073585,0.798113,0.060753
0.063689,0.760097,0.097950
0.045311,0.638737,0.184917
0.038422,0.561204,0.314802
0.061381,0.925377,0.208694
0.049441,0.897977,0.313263
0.050627,0.884702,0.357391
0.052726,0.872043,0.376415
0.027826,0.835042,0.378754
1.000000,1.000000,0.000003
0.049187,0.747569,0.161601
0.031398,0.622387,0.290863
0.023825,0.465732,0.417540
0.020885,0.400885,0.483496
0.177946,0.969291,0.017759
0.105294,0.920123,0.083817
0.090011,0.884335,0.123837
0.063412,0.760540,0.271342
0.041355,0.605470,0.490524
0.094205,0.896927,0.063050
0.089689,0.884793,0.069046
0.078578,0.849278,0.097501
0.046367,0.674117,0.370396
0.038754,0.582874,0.528194
0.066018,0.717129,0.097858
0.048427,0.587313,0.174282
0.041345,0.509616,0.212394
0.034768,0.412663,0.267326
0.028258,0.292219,0.339913
0.108765,0.855060,0.036664
0.051041,0.606632,0.160561
0.039157,0.478922,0.231694
0.031177,0.354774,0.299439
0.027849,0.287891,0.349734
0.425984,0.974322,0.023741
0.330511,0.882181,0.103780
0.290178,0.778172,0.199168
0.247684,0.606775,0.292326
0.224301,0.483298,0.331528
0.151820,0.944785,0.019723
0.076545,0.810658,0.088433
0.055377,0.709356,0.161620
0.041753,0.584545,0.246013
0.031142,0.405389,0.327673
0.064215,0.813761,0.153489
0.047811,0.710956,0.256736
0.040579,0.645250,0.338652
0.036848,0.482257,0.440310
0.032175,0.352105,0.526387
0.018828,0.989263,0.007832
0.023280,0.963427,0.024745
0.017365,0.885210,0.080356
0.014544,0.738849,0.174125
0.033135,0.537787,0.338209
0.104257,0.996880,0.005068
0.020972,0.987105,0.014436
0.024040,0.944652,0.041263
0.017485,0.734104,0.128689
0.013943,0.107451,0.454550
0.022531,0.973024,0.044217
0.051400,0.992843,0.013619
1.000000,1.000000,0.000003
0.019582,0.942752,0.047817
0.024236,0.789469,0.104850
0.093122,0.979887,0.029526
0.038144,0.933957,0.081680
0.036439,0.893498,0.131914
0.035229,0.746667,0.370756
0.027780,0.594299,0.625710
0.257103,0.979193,0.045395
0.225852,0.969885,0.045569
0.201974,0.952296,0.070727
0.183471,0.932931,0.104051
0.166878,0.907302,0.153576
0.107090,0.862290,0.088698
0.097501,0.810807,0.137520
0.102235,0.825287,0.119774
0.098139,0.825501,0.119274
0.075533,0.660887,0.376157
0.079454,0.922807,0.034375
0.062467,0.903699,0.044583
0.045506,0.882105,0.086630
0.039851,0.858457,0.135617
0.029053,0.793565,0.208067
0.295923,0.988238,0.087842
0.250285,0.978333,0.118346
0.232507,0.968070,0.122781
0.208201,0.951536,0.226659
0.200009,0.947491,0.156970
0.071554,0.895459,0.126995
0.049072,0.765843,0.222883
0.039221,0.657662,0.295035
0.027988,0.443767,0.423791
0.022400,0.264162,0.532125
0.032937,0.763454,0.154173
0.021073,0.881511,0.100128
0.011642,0.963220,0.049057
0.011642,0.969165,0.053172
0.027257,0.883533,0.152498
1.000000,1.000000,0.000005
0.177669,0.993732,0.035351
0.136434,0.947050,0.198355
0.109507,0.877007,0.392216
0.035172,0.780431,0.558372
0.151335,0.977031,0.086722
0.132391,0.927404,0.239635
0.108342,0.849073,0.414477
0.083989,0.803522,0.486837
0.033823,0.773040,0.540728
1.000000,1.000000,0.000005
0.158832,0.985010,0.066061
0.138733,0.949296,0.173086
0.130600,0.923185,0.264470
0.115867,0.873487,0.390858
0.166145,0.981988,0.092528
0.040230,0.809752,0.364108
0.030399,0.738451,0.520178
0.026780,0.695007,0.600240
0.022949,0.620853,0.669629
0.214676,0.986530,0.055670
0.200525,0.965023,0.267623
0.194928,0.959095,0.358985
0.191648,0.956053,0.388801
0.188973,0.955810,0.405147
0.062852,0.778318,0.082987
0.031719,0.749825,0.107514
0.025615,0.732873,0.134017
0.028125,0.626019,0.206312
0.017490,0.546860,0.308155
0.063591,0.964920,0.226547
0.052407,0.943461,0.355568
0.052144,0.931399,0.429966
0.050647,0.919225,0.497890
0.012276,0.874286,0.508464
1.000000,1.000000,0.000005
0.059318,0.858253,0.240958
0.039840,0.778454,0.349020
0.031498,0.663897,0.511818
0.028674,0.583662,0.615393
0.250762,0.983423,0.031034
0.163781,0.964674,0.096276
0.135591,0.949494,0.158925
0.101762,0.895453,0.326407
0.075241,0.819837,0.506933
0.123916,0.937166,0.109178
0.120316,0.931188,0.137594
0.108518,0.909869,0.188832
0.057980,0.820545,0.423171
0.046552,0.801508,0.483905
0.065529,0.562214,0.198360
0.047829,0.407774,0.254825
0.040787,0.327360,0.293946
0.034043,0.241904,0.337516
0.027563,0.153837,0.393970
0.108147,0.764053,0.097157
0.050739,0.435783,0.236142
0.038692,0.302236,0.304239
0.030655,0.197852,0.352172
0.027287,0.150262,0.387162
0.424639,0.969185,0.109730
0.329431,0.854496,0.219487
0.289034,0.723103,0.281397
0.246804,0.537907,0.346610
0.222273,0.398857,0.391477
0.086485,0.687868,0.128834
0.037608,0.351581,0.279026
0.031818,0.240542,0.333009
0.025209,0.161856,0.388108
0.021481,0.091141,0.477002
0.061886,0.868178,0.247298
0.075262,0.762063,0.356154
0.057119,0.676089,0.405982
0.031651,0.451253,0.524666
0.025724,0.300699,0.627823
0.031281,0.995872,0.018490
0.026308,0.986130,0.046431
0.016366,0.950106,0.143764
0.012420,0.859264,0.406442
0.016436,0.798860,0.561399
0.116733,0.998733,0.007515
0.033311,0.995582,0.021521
0.014008,0.983641,0.050513
0.017032,0.930296,0.125702
0.015254,0.720017,0.269729
0.018596,0.969656,0.116744
0.028106,0.993953,0.034826
1.000000,1.000000,0.000005
0.071148,0.991634,0.024783
0.030482,0.975088,0.058501
0.083473,0.994075,0.022602
0.027915,0.981530,0.063831
0.020231,0.959061,0.106727
0.021171,0.883220,0.337133
0.016686,0.797578,0.534960
0.312518,0.992068,0.028433
0.267634,0.981733,0.088869
0.226565,0.963772,0.091124
0.226181,0.963479,0.131277
0.212124,0.955898,0.135427
0.160052,0.936003,0.086850
0.152384,0.925848,0.090952
0.153622,0.929615,0.118144
0.146393,0.916054,0.097374
0.121722,0.838422,0.300045
0.092685,0.941806,0.094687
0.072683,0.929551,0.106565
0.057114,0.917447,0.143975
0.038967,0.854918,0.253237
0.029266,0.830078,0.307188
0.296984,0.989834,0.094857
0.243301,0.977814,0.148265
0.226969,0.969841,0.213829
0.206920,0.963414,0.232318
0.195830,0.952149,0.249446
0.113745,0.945448,0.181344
0.097709,0.877208,0.290796
0.085841,0.811224,0.359220
0.062171,0.633212,0.453458
0.040038,0.391327,0.530833
0.038211,0.953605,0.160722
0.027521,0.976317,0.102711
0.000000,0.991519,0.052252
0.000000,0.990987,0.059454
0.026228,0.964884,0.158388
1.000000,1.000000,0.000003
0.209485,0.995195,0.010527
0.134434,0.956033,0.074853
0.105038,0.878837,0.219892
0.079309,0.725941,0.437576
0.164953,0.982375,0.029100
0.126246,0.938609,0.099158
0.100558,0.845789,0.250805
0.089003,0.774390,0.344559
0.081184,0.718040,0.428325
1.000000,1.000000,0.000003
0.178893,0.988364,0.022163
0.146176,0.969796,0.054985
0.119101,0.920257,0.144298
0.100583,0.836047,0.273231
0.105498,0.907087,0.153112
0.036141,0.489579,0.385572
